Account Owner,Inventory in the Description,ID,State,Company,Match status,Website,Unnamed: 7
Corbin,,290,New York,NYC Department of Parks and Recreation,No Company Match,https://nyceventpermits.nyc.gov/Parks/,https://www.nycgovparks.org/
Corbin,,292,New York,Olmsted City,No Company Match,https://www.north-olmsted.com/,https://olmstedcity.org/
Corbin,,293,New York,Port Jervis CDA,No Company Match,N/A,portjervisny.gov
Corbin,,296,New York,The Research Foundation for the SUNY,No Company Match,N/A,https://www.rfsuny.org/
Corbin,,303,North Carolina,"City of Charlotte, Landscape Management",No Company Match,N/A,https://www.charlottenc.gov/City-Government/Departments/General-Services/About-GS/Landscape-Management
Corbin,,304,North Carolina,"City of Charlotte, Landscape Management",No Company Match,N/A,https://www.charlottenc.gov/City-Government/Departments/General-Services/About-GS/Landscape-Management
Corbin,,313,Ohio,City of Bowling Green,No Company Match,N/A,https://www.bgky.org/
Corbin,,314,Ohio,City of Canton,No Company Match,N/A,https://www.cantonohio.gov/
Corbin,,317,Ohio,City of Dayton-Street Maint.,No Company Match,N/A,https://www.daytonohio.gov
Corbin,,322,Ohio,City of Obetz,No Company Match,N/A,https://obetz.oh.us/
Corbin,,351,Pennsylvania,City of Easton,No Company Match,N/A,https://www.easton-pa.com/
Corbin,,354,Pennsylvania,City of Johnstown,No Company Match,N/A,https://johnstownpa.gov/
Corbin,,360,Puerto Rico,"Caribbean Regenerative Community Development, Inc.",No Company Match,N/A,https://www.cicdofboston.org/
Corbin,INVENTORY,361,Puerto Rico,University of Puerto Rico at Rio Piedras,No Company Match,N/A,https://www.uprrp.edu/english/
Corbin,,364,Rhode Island,"Executive Office of Health and Human Services, State of Rhode Island",No Company Match,N/A,https://eohhs.ri.gov/
Corbin,,370,South Carolina,South Carolina State University 1890 Research & Extension,No Company Match,N/A,https://scsu.edu/research-outreach/1890-research-and-extension/
Corbin,INVENTORY,374,Tennesse,"City of Chattanooga, Tennessee Department of Parks and Outdoors",No Company Match,N/A,https://chattanooga.gov/parks
Corbin,,378,Tennesse,University of Tennessee,No Company Match,N/A,https://www.utk.edu/
Corbin,,401,Virginia,City of Norfolk Parks & Forestry Operation,No Company Match,N/A,https://www.norfolk.gov/directory.aspx?did=54
Corbin,,403,Virginia,City of Winchester,No Company Match,N/A,https://www.winchesterva.gov/
Corbin,,404,Virginia,"Norfolk State University, Norfolk",No Company Match,N/A,https://www.nsu.edu/
